n_attack,n_investigation,n_mount,n_other,n_windows,split,status,video_id
166,321,4,158,649,train,ok,Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624
0,304,322,279,905,train,ok,Mouse-Esr1-cre#6_20180810_14-41-50_00694-27215
79,307,0,557,943,train,ok,Mouse-Inter#2_20180629_11-29-14_00903-36725
323,106,0,182,611,train,ok,Mouse-Inter#3_20180629_11-58-11_01202-18127
159,581,6,465,1211,train,ok,Mouse-Inter#5_20180628_11-59-11_00292-36345
344,70,0,210,624,train,ok,Mouse-Inter#8_20180628_13-14-30_00743-18190
246,1069,4,294,1613,train,ok,Mouse-Inter#9_20180627_17-36-18_01128-36446
101,248,0,260,609,train,ok,Mouse076_20160709_17-46-10
0,118,109,201,428,train,ok,Mouse1210_20181105_20-43-27_004405-018154
0,78,37,112,227,train,ok,Mouse1210_20181105_20-43-27_019196-027274
82,47,0,24,153,train,ok,Mouse1210_20181105_21-16-19_008114-011655
70,122,0,153,345,train,ok,Mouse1210_20181105_21-16-19_012514-023004
58,183,13,126,380,train,ok,Mouse1210_20181105_21-16-19_024198-036120
0,213,13,111,337,train,ok,Mouse1213_20181105_19-32-25_014350-023687
0,86,16,68,170,train,ok,Mouse1213_20181105_19-32-25_023783-028728
0,89,20,123,232,train,ok,Mouse1213_20181105_19-32-25_028814-036561
0,66,0,31,97,train,ok,Mouse1213_20181105_19-32-25_039831-042569
0,140,8,93,241,train,ok,Mouse1213_20181105_19-32-25_052371-060352
0,73,6,72,151,train,ok,Mouse1213_20181105_19-32-25_060513-064760
17,151,20,70,258,train,ok,Mouse1213_20181105_20-12-56_000640-007367
5,43,0,73,121,train,ok,Mouse1213_20181105_20-12-56_007452-012449
0,15,0,65,80,train,ok,Mouse1213_20181105_20-12-56_012550-016760
3,248,9,136,396,train,ok,Mouse1213_20181105_20-12-56_016823-028759
0,260,0,108,368,train,ok,Mouse1213_20181105_20-12-56_028845-039252
0,73,0,24,97,train,ok,Mouse1213_20181105_20-12-56_039362-041753
0,217,0,109,326,train,ok,Mouse1213_20181105_20-12-56_041843-051307
0,38,74,46,158,train,ok,Mouse1242_20190105_21-03-23_012212-016346
15,27,0,36,78,train,ok,Mouse1242_20190105_21-03-23_017630-020077
34,21,0,7,62,train,ok,Mouse1242_20190105_21-03-23_021428-022924
0,35,36,35,106,train,ok,Mouse1242_20190105_21-03-23_023686-027242
74,17,3,7,101,train,ok,Mouse1242_20190105_21-03-23_028160-030235
0,120,29,66,215,train,ok,Mouse1243_20190102_16-35-49_006212-012541
0,31,66,25,122,train,ok,Mouse1243_20190102_16-35-49_013317-016369
0,36,10,83,129,train,ok,Mouse1243_20190102_16-35-49_022569-027993
25,0,0,2,27,train,ok,Mouse1243_20190102_16-35-49_029183-029758
0,23,6,93,122,train,ok,Mouse1243_20190102_16-35-49_033096-038787
0,393,0,196,589,train,ok,Mouse159_20161017_18-28-46
0,734,0,80,814,train,ok,Mouse161_20161018_19-29-26
0,157,0,58,215,train,ok,Mouse204_20170224_18-07-32_006250-012196
0,111,0,61,172,train,ok,Mouse204_20170224_18-07-32_013375-018581
0,104,0,53,157,train,ok,Mouse204_20170224_18-07-32_019350-023797
0,109,9,196,314,train,ok,Mouse204_20170224_18-07-32_033675-047296
139,65,0,78,282,train,ok,Mouse204_20170224_18-07-32_048064-055665
0,107,51,104,262,train,ok,Mouse204_20170224_18-07-32_065425-073288
67,46,0,73,186,train,ok,Mouse519_20180415_22-57-26_11985-17769
24,59,6,57,146,train,ok,Mouse519_20180415_22-57-26_18324-23261
40,73,3,42,158,train,ok,Mouse519_20180415_22-57-26_25523-29905
0,234,0,94,328,train,ok,Mouse626_20181018_18-54-39_01991-10997
0,157,0,59,216,train,ok,Mouse626_20181018_18-54-39_11701-17993
0,91,599,260,950,train,ok,Mouse626_20181018_19-20-28_01546-26157
