epoch,train_loss,train_acc,val_loss,val_acc,val_macroF1,elapsed_s,lr_head,lr_backbone,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_temp_c,gpu_power_w,precision_attack,recall_attack,f1_attack,precision_investigation,recall_investigation,f1_investigation,precision_mount,recall_mount,f1_mount,precision_other,recall_other,f1_other
1,0.8011694385737275,0.6728225727441952,0.7589991291748389,0.6770512947713067,0.6175291821467331,181.70531606674194,5e-05,5e-05,50.8,6.44,nan,nan,nan,nan,0.19419822723609992,0.7325227963525835,0.3070063694267516,0.8632716049382716,0.5474652573889215,0.6700203617199664,0.7530949105914718,0.7722143864598026,0.7625348189415042,0.6493725868725869,0.8349363946633571,0.7305551784987104
2,0.598030245532997,0.7699617909277946,0.7060629705972378,0.7192181764063895,0.6715538995362496,192.0887746810913,5e-05,5e-05,50.7,6.47,nan,nan,nan,nan,0.3722334004024145,0.5623100303951368,0.44794188861985473,0.8548298572996706,0.6097083577999608,0.7117559693819262,0.8439716312056738,0.7552891396332864,0.7971715668031261,0.6164060826729493,0.8929568724790568,0.7293461733400912
3,0.5677415182854875,0.7771627314588028,0.6822823341167162,0.7389621986308166,0.6363368866620465,192.85778784751892,5e-05,5e-05,50.8,6.48,nan,nan,nan,nan,0.20742534301856336,0.7811550151975684,0.3278061224489796,0.7653390742734123,0.8349970640046976,0.7986520640269588,0.9439890710382514,0.48730606488011285,0.6427906976744187,0.8816101026045777,0.6931430344399627,0.7760986624978287
4,0.5379888198592446,0.7941608699911825,0.5980678350457714,0.7651552733406092,0.6891644392356577,189.07146739959717,5e-05,5e-05,50.8,6.6,nan,nan,nan,nan,0.25023969319271333,0.7933130699088146,0.38046647230320707,0.8230495712194101,0.7702094343315717,0.7957532861476239,0.8609492089925063,0.7291960507757405,0.789614356624666,0.8127046496398166,0.7700899782811046,0.7908236418671339
5,0.5141061835493134,0.8029293622024101,0.5722679668667889,0.7780533783113404,0.7189542193376961,193.76656889915466,5e-05,5e-05,50.9,6.66,nan,nan,nan,nan,0.37719298245614036,0.6534954407294833,0.4783092324805339,0.8536977491961415,0.7275396359365826,0.7855859663954349,0.7986798679867987,0.8533145275035261,0.8250937606546199,0.7417582417582418,0.8377288240769469,0.7868279178201953
6,0.5103631168253556,0.8054276476927599,0.5346124725431085,0.7902569699374938,0.7529325808939558,193.8629972934723,5e-05,5e-05,50.9,6.67,nan,nan,nan,nan,0.6324503311258278,0.5805471124620061,0.6053882725832013,0.8441415695757309,0.7516147974163241,0.7951956926899978,0.7769516728624535,0.8843441466854725,0.8271767810026385,0.7415605976757056,0.8315234253800806,0.7839695772999853
7,0.5024906415901027,0.8086117370432057,0.5486723524488745,0.7866851870225221,0.7093415820161353,192.9692084789276,5e-05,5e-05,50.8,6.42,nan,nan,nan,nan,0.33996937212863704,0.6747720364741642,0.4521384928716904,0.8101364522417154,0.8134664317870425,0.8117980271510891,0.8587619877942458,0.6946403385049366,0.7680311890838205,0.8148618609082249,0.7961526528079429,0.8053986189579411
8,0.48601488487613986,0.8124326442637406,0.6379669705797578,0.7397559281674769,0.6885159456422546,193.12284183502197,5e-05,5e-05,50.8,6.45,nan,nan,nan,nan,0.3154034229828851,0.78419452887538,0.44986922406277247,0.8575520833333333,0.64454883538853,0.7359481506313554,0.8606158833063209,0.7489421720733427,0.8009049773755655,0.6790064485311679,0.8820974247595408,0.7673414304993251
9,0.4770550984760811,0.8168413833643577,0.5722284695654664,0.7817243774183947,0.7269894002175612,185.07101273536682,5e-05,5e-05,51.1,6.45,nan,nan,nan,nan,0.44948453608247424,0.662613981762918,0.5356265356265356,0.8367302688638335,0.7553337247993737,0.7939512395844049,0.8405448717948718,0.7397743300423131,0.786946736684171,0.7372790573111945,0.8541731306236425,0.7914330889751331
10,0.46596683496404967,0.8199275007347898,0.6654108412770762,0.7472963587657506,0.6552313426230133,193.08323574066162,5e-05,5e-05,50.9,6.43,nan,nan,nan,nan,0.20473022912047303,0.8419452887537994,0.3293697978596909,0.7928516525749424,0.8075944411822275,0.8001551439930185,0.8707627118644068,0.5796897038081805,0.6960203217612193,0.8948797517455391,0.7157927396835246,0.7953801068781244
