epoch,train_loss,train_acc,val_loss,val_acc,val_macroF1,elapsed_s,lr_head,lr_backbone,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_temp_c,gpu_power_w,precision_attack,recall_attack,f1_attack,precision_investigation,recall_investigation,f1_investigation,precision_mount,recall_mount,f1_mount,precision_other,recall_other,f1_other
1,0.5997101532990189,0.7784363671989811,0.4514419407827691,0.8503819823395178,0.7859270180940572,184.37820315361023,5e-05,5e-05,50.9,6.6,nan,nan,nan,nan,0.6455223880597015,0.5258358662613982,0.5795644891122278,0.809957805907173,0.9393227637502447,0.8698568062352727,0.8914373088685015,0.8222849083215797,0.8554658840792371,0.943754848719938,0.7548867514737821,0.8388208929494915
2,0.4631699085539224,0.8364847653571079,0.48809454567168675,0.8338128782617323,0.7531617326322536,185.99553275108337,5e-05,5e-05,50.6,6.6,nan,nan,nan,nan,0.7543859649122807,0.39209726443769,0.516,0.8233006112243008,0.8700332746134273,0.8460220784164446,0.9298409728718429,0.7009873060648801,0.7993566546039406,0.8244186046511628,0.8799255352156377,0.8512681975086297
3,0.4308338115885153,0.8418242382678554,0.38675888900770733,0.8668518702252208,0.8081440570480459,186.20347023010254,5e-05,5e-05,50.8,6.6,nan,nan,nan,nan,0.6462585034013606,0.5775075987841946,0.6099518459069021,0.8552655931889691,0.9044822861616755,0.8791856925418569,0.8929618768328446,0.8589562764456982,0.875629043853343,0.8972829688535454,0.8402109835556935,0.8678096458900817
4,0.40821930046155347,0.8540707357695699,0.40470022063088856,0.8644706816152397,0.8046359943080907,186.78550672531128,5e-05,5e-05,51.0,6.73,nan,nan,nan,nan,0.48879837067209775,0.729483282674772,0.5853658536585367,0.8773197890212933,0.8790369935408103,0.8781775518185373,0.9144144144144144,0.8589562764456982,0.8858181818181818,0.8810965890978641,0.857586099906919,0.8691823899371067
5,0.3900433018129191,0.8588223768002351,0.41262205859575984,0.8601051691636075,0.8038652463431538,185.64601969718933,5e-05,5e-05,50.8,6.52,nan,nan,nan,nan,0.5676959619952494,0.7264437689969605,0.6373333333333334,0.8388829215896885,0.917204932472108,0.8762973352033661,0.9410714285714286,0.7433004231311706,0.830575256107171,0.9112466124661247,0.8346261247285138,0.8712550607287449
6,0.37275449801557536,0.8641128637209758,0.4024226348520079,0.8557396567119754,0.8060880789923307,186.08051204681396,5e-05,5e-05,50.8,6.54,nan,nan,nan,nan,0.5381263616557734,0.7507598784194529,0.6269035532994924,0.8833469055374593,0.8492855744764142,0.8659814389781458,0.9092307692307692,0.8335684062059239,0.8697571743929361,0.8383215962441315,0.8864412038473471,0.8617101492987483
7,0.37435312460973674,0.866807093171353,0.3999062273640274,0.8624863577735886,0.812336470916513,186.14952516555786,5e-05,5e-05,50.7,6.54,nan,nan,nan,nan,0.672077922077922,0.6291793313069909,0.6499215070643642,0.8590083270249811,0.8884321785085144,0.8734725295872222,0.9366666666666666,0.7926657263751763,0.8586707410236821,0.8588378460602373,0.8758920260626746,0.8672811059907835
8,0.3535534103567417,0.8723425100421279,0.4278459084443822,0.8397658497866852,0.808195212528528,185.9239411354065,5e-05,5e-05,50.8,6.54,nan,nan,nan,nan,0.5808656036446469,0.7750759878419453,0.6640625,0.9065123666893579,0.7819534155412018,0.8396385035729297,0.8861731843575419,0.8949224259520452,0.8905263157894738,0.774796106287819,0.9137449581135588,0.8385535307517084
9,0.35027634387041756,0.8703830704418536,0.4432502297367642,0.856930251016966,0.8068855977005471,186.50288367271423,5e-05,5e-05,50.7,6.54,nan,nan,nan,nan,0.6859756097560976,0.6838905775075987,0.6849315068493151,0.8310283687943263,0.9174006654922685,0.8720811238254721,0.9495145631067962,0.689703808180536,0.7990196078431373,0.8915936384290815,0.8523115110145827,0.8715101522842639
10,0.3148392954736154,0.8847849515038699,0.39425769526634313,0.8713165988689354,0.8244980075180641,186.42700600624084,2.5e-05,2.5e-05,50.7,6.54,nan,nan,nan,nan,0.60381861575179,0.7689969604863222,0.6764705882352942,0.8646027601641179,0.907418281464083,0.8854932671187087,0.9184,0.8095909732016925,0.8605697151424287,0.9005905511811023,0.8516909711448961,0.8754584595758252
