split,video_id,status,accepted_annot,pred_named_or_uncertain_annot,all_annots
test_1,Mouse060_20160526_18-16-27,human_gt_accepted,<MARS_DATA_ROOT>\test_1\Mouse060_20160526_18-16-27\Mouse060_20160526_18-16-27_anno.annot,,Mouse060_20160526_18-16-27_anno.annot
test_1,Mouse061_20160526_18-38-49,human_gt_accepted,<MARS_DATA_ROOT>\test_1\Mouse061_20160526_18-38-49\Mouse061_20160526_18-38-49_anno.annot,,Mouse061_20160526_18-38-49_anno.annot
test_1,Mouse062_20160526_18-56-26,human_gt_accepted,<MARS_DATA_ROOT>\test_1\Mouse062_20160526_18-56-26\Mouse062_20160526_18-56-26_anno.annot,,Mouse062_20160526_18-56-26_anno.annot
test_1,Mouse063_20160526_19-14-46,human_gt_accepted,<MARS_DATA_ROOT>\test_1\Mouse063_20160526_19-14-46\Mouse063_20160526_19-14-46_anno.annot,,Mouse063_20160526_19-14-46_anno.annot
test_1,Mouse069_20160709_16-02-03,human_gt_accepted,<MARS_DATA_ROOT>\test_1\Mouse069_20160709_16-02-03\Mouse069_20160709_16-02-03_anno.annot,,Mouse069_20160709_16-02-03_anno.annot
test_1,Mouse070_20160709_16-58-36,human_gt_accepted,<MARS_DATA_ROOT>\test_1\Mouse070_20160709_16-58-36\Mouse070_20160709_16-58-36_anno.annot,,Mouse070_20160709_16-58-36_anno.annot
test_1,Mouse074_20160709_19-15-23,human_gt_accepted,<MARS_DATA_ROOT>\test_1\Mouse074_20160709_19-15-23\Mouse074_20160709_19-15-23_anno.annot,,Mouse074_20160709_19-15-23_anno.annot
test_1,Mouse077_20160709_18-29-34,human_gt_accepted,<MARS_DATA_ROOT>\test_1\Mouse077_20160709_18-29-34\Mouse077_20160709_18-29-34_anno.annot,,Mouse077_20160709_18-29-34_anno.annot
test_1,Mouse162_20161017_19-58-28,human_gt_accepted,<MARS_DATA_ROOT>\test_1\Mouse162_20161017_19-58-28\Mouse162_20161017_19-58-28_TK.annot,,Mouse162_20161017_19-58-28_TK.annot
test_1,Mouse163_20161018_18-22-45,human_gt_accepted,<MARS_DATA_ROOT>\test_1\Mouse163_20161018_18-22-45\Mouse163_20161018_18-22-45_TK.annot,,Mouse163_20161018_18-22-45_TK.annot
test_2,Mouse155_20151124_20-48-31,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse155_20151124_20-48-31\Mouse155_20151124_20-48-31_Front-XiaoAnn.annot,,Mouse155_20151124_20-48-31_Front-XiaoAnn.annot
test_2,Mouse155_20151124_20-56-05,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse155_20151124_20-56-05\Mouse155_20151124_20-56-05_bhvr.annot,,Mouse155_20151124_20-56-05_bhvr.annot
test_2,Mouse155_20151124_21-11-28,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse155_20151124_21-11-28\Mouse155_20151124_21-11-28_bhvr.annot,,Mouse155_20151124_21-11-28_bhvr.annot
test_2,Mouse155_20151129_22-41-43,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse155_20151129_22-41-43\Mouse155_20151129_22-41-43_actions.annot,,Mouse155_20151129_22-41-43_actions.annot
test_2,Mouse156_20151012_20-16-37,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse156_20151012_20-16-37\Mouse156_20151012_20-16-37_Front-XiaoAnn.annot,,Mouse156_20151012_20-16-37_Front-XiaoAnn.annot
test_2,Mouse156_20151124_21-53-46,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse156_20151124_21-53-46\Mouse156_20151124_21-53-46_bhvr.annot,,Mouse156_20151124_21-53-46_bhvr.annot
test_2,Mouse158_20151129_21-12-54,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse158_20151129_21-12-54\Mouse158_20151129_21-12-54_bhvr.annot,,Mouse158_20151129_21-12-54_bhvr.annot
test_2,Mouse159_20151129_20-48-38,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse159_20151129_20-48-38\Mouse159_20151129_20-48-38_actions.annot,,Mouse159_20151129_20-48-38_actions.annot
test_2,Mouse159_20151129_20-57-31,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse159_20151129_20-57-31\Mouse159_20151129_20-57-31_Front-XiaoAnn.annot,,Mouse159_20151129_20-57-31_Front-XiaoAnn.annot
test_2,Mouse457_20180222_18-06-26_18062-27726,excluded_pred_named_or_missing,,<MARS_DATA_ROOT>\test_2\Mouse457_20180222_18-06-26_18062-27726\Mouse457_20180222_18-06-26_18062-27726_actions_pred_tomomi_fix_edTK_final_time_TS_withUSV.annot,Mouse457_20180222_18-06-26_18062-27726_actions_pred_tomomi_fix_edTK_final_time_TS_withUSV.annot
test_2,Mouse518_20180415_21-49-17_18312-23707,excluded_pred_named_or_missing,,<MARS_DATA_ROOT>\test_2\Mouse518_20180415_21-49-17_18312-23707\Mouse518_20180415_21-49-17_18312-23707_xgb_top_pcf_wnd_actions_pred_v1_6_CH_final.annot,Mouse518_20180415_21-49-17_18312-23707_xgb_top_pcf_wnd_actions_pred_v1_6_CH_final.annot
test_2,Mouse627_20181026_17-29-36_01994-09560,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse627_20181026_17-29-36_01994-09560\Mouse627_20181026_17-29-36_01994-09560_XW_tk_final.annot,,Mouse627_20181026_17-29-36_01994-09560_XW_tk_final.annot
test_2,Mouse627_20181026_17-29-36_10191-15523,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse627_20181026_17-29-36_10191-15523\Mouse627_20181026_17-29-36_10191-15523_XW_tk_final.annot,,Mouse627_20181026_17-29-36_10191-15523_XW_tk_final.annot
test_2,Mouse627_20181026_17-29-36_16209-22286,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse627_20181026_17-29-36_16209-22286\Mouse627_20181026_17-29-36_16209-22286_XW_tk_final.annot,,Mouse627_20181026_17-29-36_16209-22286_XW_tk_final.annot
test_2,Mouse630_20181025_18-44-29_01807-21458,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse630_20181025_18-44-29_01807-21458\Mouse630_20181025_18-44-29_01807-21458_XW_tk_final.annot,,Mouse630_20181025_18-44-29_01807-21458_XW_tk_final.annot
test_2,Mouse630_20181025_18-44-29_21460-30528,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse630_20181025_18-44-29_21460-30528\Mouse630_20181025_18-44-29_21460-30528_XW_tk_final.annot,,Mouse630_20181025_18-44-29_21460-30528_XW_tk_final.annot
test_2,Mouse835-female_20200325_18-28-49_10767-24391,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse835-female_20200325_18-28-49_10767-24391\Mouse835-female_20200325_18-28-49_10767-24391_TK_withUSV.annot,,Mouse835-female_20200325_18-28-49_10767-24391_TK_withUSV.annot
test_2,Mouse836-female_20200322_19-33-17_00957-13323,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse836-female_20200322_19-33-17_00957-13323\Mouse836-female_20200322_19-33-17_00957-13323_TK_withUSV.annot,,Mouse836-female_20200322_19-33-17_00957-13323_TK_withUSV.annot
test_2,Mouse836-female_20200322_19-33-17_14594-23870,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse836-female_20200322_19-33-17_14594-23870\Mouse836-female_20200322_19-33-17_14594-23870_TK_withUSV.annot,,Mouse836-female_20200322_19-33-17_14594-23870_TK_withUSV.annot
test_2,Mouse839-female_20200322_20-15-11_12885-24623,human_gt_accepted,<MARS_DATA_ROOT>\test_2\Mouse839-female_20200322_20-15-11_12885-24623\Mouse839-female_20200322_20-15-11_12885-24623_TK_withUSV.annot,,Mouse839-female_20200322_20-15-11_12885-24623_TK_withUSV.annot
