split,dataset_split,video_id,frame_idx,pose_context,image_path,pose_json,source_video
train,train,Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624,210,investigation,labeled-data/train_Mouse-Esr1-cre_6_20180808_15-47-18_00536-18624/img000210.png,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_pose_top_v1_7.json,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_Top.mp4
train,train,Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624,216,investigation,labeled-data/train_Mouse-Esr1-cre_6_20180808_15-47-18_00536-18624/img000216.png,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_pose_top_v1_7.json,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_Top.mp4
train,train,Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624,348,investigation,labeled-data/train_Mouse-Esr1-cre_6_20180808_15-47-18_00536-18624/img000348.png,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_pose_top_v1_7.json,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_Top.mp4
train,train,Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624,372,investigation,labeled-data/train_Mouse-Esr1-cre_6_20180808_15-47-18_00536-18624/img000372.png,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_pose_top_v1_7.json,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_Top.mp4
train,train,Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624,378,investigation,labeled-data/train_Mouse-Esr1-cre_6_20180808_15-47-18_00536-18624/img000378.png,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_pose_top_v1_7.json,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_Top.mp4
train,train,Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624,402,investigation,labeled-data/train_Mouse-Esr1-cre_6_20180808_15-47-18_00536-18624/img000402.png,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_pose_top_v1_7.json,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_Top.mp4
train,train,Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624,414,investigation,labeled-data/train_Mouse-Esr1-cre_6_20180808_15-47-18_00536-18624/img000414.png,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_pose_top_v1_7.json,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_Top.mp4
train,train,Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624,432,investigation,labeled-data/train_Mouse-Esr1-cre_6_20180808_15-47-18_00536-18624/img000432.png,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_pose_top_v1_7.json,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_Top.mp4
train,train,Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624,450,investigation,labeled-data/train_Mouse-Esr1-cre_6_20180808_15-47-18_00536-18624/img000450.png,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_pose_top_v1_7.json,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_Top.mp4
train,train,Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624,480,investigation,labeled-data/train_Mouse-Esr1-cre_6_20180808_15-47-18_00536-18624/img000480.png,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_pose_top_v1_7.json,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_Top.mp4
train,train,Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624,532,investigation,labeled-data/train_Mouse-Esr1-cre_6_20180808_15-47-18_00536-18624/img000532.png,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_pose_top_v1_7.json,MARS-data/train/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624/Mouse-Esr1-cre#6_20180808_15-47-18_00536-18624_Top.mp4
