route,component,class,precision,recall,f1,support
YOLO-SPPF,combined,attack,0.8170347003154574,0.8633333333333333,0.839546191247974,300.0
YOLO-SPPF,combined,investigation,0.7106109324758842,0.7366666666666667,0.723404255319149,300.0
YOLO-SPPF,combined,mount,0.8907849829351536,0.87,0.8802698145025295,300.0
YOLO-SPPF,combined,other,0.9032258064516129,0.84,0.8704663212435233,300.0
YOLO-SPPF,group,attack,0.695906432748538,0.7933333333333333,0.7414330218068536,300.0
YOLO-SPPF,group,investigation,0.5547445255474452,0.5066666666666667,0.5296167247386759,300.0
YOLO-SPPF,group,mount,0.6654804270462633,0.6233333333333333,0.6437177280550774,300.0
YOLO-SPPF,group,other,0.7326732673267327,0.74,0.736318407960199,300.0
YOLO-SPPF,animal_pair,attack,0.8280254777070064,0.8666666666666667,0.8469055374592834,300.0
YOLO-SPPF,animal_pair,investigation,0.7272727272727273,0.72,0.7236180904522613,300.0
YOLO-SPPF,animal_pair,mount,0.9052631578947369,0.86,0.882051282051282,300.0
YOLO-SPPF,animal_pair,other,0.8388157894736842,0.85,0.8443708609271523,300.0
MobileNetV3,combined,attack,0.7527472527472527,0.9133333333333333,0.8253012048192772,300.0
MobileNetV3,combined,investigation,0.6091549295774648,0.5766666666666667,0.5924657534246576,300.0
MobileNetV3,combined,mount,0.8288590604026845,0.8233333333333334,0.8260869565217391,300.0
MobileNetV3,combined,other,0.8228346456692913,0.6966666666666667,0.7545126353790613,300.0
MobileNetV3,group,attack,0.6442786069651741,0.8633333333333333,0.7378917378917379,300.0
MobileNetV3,group,investigation,0.5680933852140078,0.4866666666666667,0.5242369838420108,300.0
MobileNetV3,group,mount,0.7593220338983051,0.7466666666666667,0.7529411764705882,300.0
MobileNetV3,group,other,0.8008130081300813,0.6566666666666666,0.7216117216117216,300.0
MobileNetV3,animal_pair,attack,0.7774647887323943,0.92,0.8427480916030534,300.0
MobileNetV3,animal_pair,investigation,0.6332046332046332,0.5466666666666666,0.5867620751341681,300.0
MobileNetV3,animal_pair,mount,0.8146853146853147,0.7766666666666666,0.7952218430034129,300.0
MobileNetV3,animal_pair,other,0.6366666666666667,0.6366666666666667,0.6366666666666667,300.0
DLC-HRNet,combined,attack,0.6371191135734072,0.7666666666666667,0.6959152798789713,300.0
DLC-HRNet,combined,investigation,0.631578947368421,0.6,0.6153846153846154,300.0
DLC-HRNet,combined,mount,0.8156028368794326,0.7666666666666667,0.7903780068728522,300.0
DLC-HRNet,combined,other,0.8602941176470589,0.78,0.8181818181818182,300.0
DLC-HRNet,group,attack,0.60790273556231,0.6666666666666666,0.6359300476947536,300.0
DLC-HRNet,group,investigation,0.4521452145214521,0.45666666666666667,0.45439469320066334,300.0
DLC-HRNet,group,mount,0.6241379310344828,0.6033333333333334,0.6135593220338983,300.0
DLC-HRNet,group,other,0.8093525179856115,0.75,0.7785467128027682,300.0
DLC-HRNet,animal_pair,attack,0.6131805157593123,0.7133333333333334,0.6594761171032357,300.0
DLC-HRNet,animal_pair,investigation,0.5902255639097744,0.5233333333333333,0.5547703180212014,300.0
DLC-HRNet,animal_pair,mount,0.828125,0.7066666666666667,0.762589928057554,300.0
DLC-HRNet,animal_pair,other,0.6990881458966566,0.7666666666666667,0.7313195548489666,300.0
