route,component,class,n_windows,adjacent_l2_mean,adjacent_cosine_distance_mean
YOLO-SPPF,combined,attack,300,1.9750467538833618,0.005523898638784885
YOLO-SPPF,combined,investigation,300,1.3977664709091187,0.0031157510820776224
YOLO-SPPF,combined,mount,300,1.2815548181533813,0.0027579539455473423
YOLO-SPPF,combined,other,300,1.4793789386749268,0.0039094844833016396
YOLO-SPPF,group,attack,300,0.9863271117210388,0.004052097909152508
YOLO-SPPF,group,investigation,300,0.725912868976593,0.002437687013298273
YOLO-SPPF,group,mount,300,0.6480541825294495,0.0019842302426695824
YOLO-SPPF,group,other,300,0.7770251631736755,0.0029043012764304876
YOLO-SPPF,animal_pair,attack,300,1.6794228553771973,0.006273620296269655
YOLO-SPPF,animal_pair,investigation,300,1.1630606651306152,0.0034551755525171757
YOLO-SPPF,animal_pair,mount,300,1.0734437704086304,0.0031580578070133924
YOLO-SPPF,animal_pair,other,300,1.2239673137664795,0.0044112540781497955
MobileNetV3,combined,attack,300,2.4882616996765137,0.021245816722512245
MobileNetV3,combined,investigation,300,2.0070083141326904,0.014462731778621674
MobileNetV3,combined,mount,300,2.034167528152466,0.015171617269515991
MobileNetV3,combined,other,300,2.1263794898986816,0.017449980601668358
MobileNetV3,group,attack,300,0.9364698529243469,0.008897156454622746
MobileNetV3,group,investigation,300,0.7749415040016174,0.006346496287733316
MobileNetV3,group,mount,300,0.7711188793182373,0.006306993775069714
MobileNetV3,group,other,300,0.809238851070404,0.007458268664777279
MobileNetV3,animal_pair,attack,300,2.2926647663116455,0.02747129462659359
MobileNetV3,animal_pair,investigation,300,1.839667558670044,0.01850569248199463
MobileNetV3,animal_pair,mount,300,1.8693695068359375,0.019568171352148056
MobileNetV3,animal_pair,other,300,1.9531811475753784,0.022434314712882042
DLC-HRNet,combined,attack,300,7.171141147613525,0.006921267602592707
DLC-HRNet,combined,investigation,300,4.758102893829346,0.002835310297086835
DLC-HRNet,combined,mount,300,6.480268955230713,0.006904006004333496
DLC-HRNet,combined,other,300,4.471163749694824,0.0021751082967966795
DLC-HRNet,group,attack,300,4.489070415496826,0.005252098198980093
DLC-HRNet,group,investigation,300,3.1914947032928467,0.0024269556161016226
DLC-HRNet,group,mount,300,3.516907215118408,0.002970838686451316
DLC-HRNet,group,other,300,3.195082902908325,0.0019437619484961033
DLC-HRNet,animal_pair,attack,300,5.18007755279541,0.0066644130274653435
DLC-HRNet,animal_pair,investigation,300,3.275963306427002,0.002514442428946495
DLC-HRNet,animal_pair,mount,300,4.931497097015381,0.00847685057669878
DLC-HRNet,animal_pair,other,300,2.906928300857544,0.0019232680788263679
